Lookup Value	Register ID	Description	Writable
40001	0	Process Value (PV)	FALSE
40002	1	Active Setpoint (SP)	TRUE
40003	2	Setpoint 1 (SP1)	TRUE
40004	3	Setpoint 2 (SP2)	TRUE
40005	4	Setpoint Deviation	FALSE
40006	5	Alarm 1 Value	TRUE
40007	6	Alarm 2 Value	TRUE
40008	7	Alarm 3 Value	TRUE
40009	8	Output Power 1	TRUE
40010	9	Output Power 2	TRUE
40011	10	PB Proportional band (Active)	TRUE
40012	11	Integral time (Active)	TRUE
40013	12	Derivative time (Active)	TRUE
40014	13	Integration default (Active)	TRUE
40015	14	PID parameter set selection	TRUE
40016	15	Auto-Tune Start	TRUE
40017	16	Control Mode Transfer (Auto/Manual)	TRUE
40018	17	Controller Status	TRUE
40019	18	Setpoint Select	TRUE
40020	19	SP Ramp Rate	TRUE
40021	20	LED Status	FALSE
40022	21	Pushbutton Status	FALSE
40023	22	Alarm Reset	TRUE
40024	23	Setpoint Ramping Disable	TRUE
40025	24	Integral Action Disable	TRUE
40033	32	Proportional band	TRUE
40034	33	Integral time 	TRUE
40035	34	Derivative time	TRUE
40036	35	Integration default	TRUE
40037	36	Proportional band	TRUE
40038	37	Integral time 2	TRUE
40039	38	Derivative time 2	TRUE
40040	39	Integration default 2	TRUE
40041	40	Output Power Offset	TRUE
40051	50	Input Type	TRUE
40052	51	Temperature Scale	TRUE
40053	52	Decimal Resolution	TRUE
40054	53	Digital Filtering	TRUE
40055	54	Input Filter Band	TRUE
40056	55	Shift/Offset	TRUE
40057	56	Display Value Scaling Point 1	TRUE
40058	57	Display Value Scaling Point 2	TRUE
40059	58	Setpoint Low Limit	TRUE
40060	59	Setpoint High Limit	TRUE
40061	60	Cold Junction Compensation	TRUE
40062	61	User Input 1 Function	TRUE
40063	62	User Input 2 Function	TRUE
40064	63	F1 Key Function	TRUE
40065	64	F2 Key Function	TRUE
40081	80	Output Action	TRUE
40082	81	Auto Control Mode	TRUE
40083	82	Output 1 Cycle Time	TRUE
40084	83	Output 1 Power Lower Limit	TRUE
40085	84	Output 1 Power High Limit	TRUE
40086	85	Input Fail OP1 Power Level	TRUE
40087	86	Analog Out 1 Low Scaling	TRUE
40088	87	Analog Out 1 High Scaling Value	TRUE
40091	90	Output 2 Cycle Time	TRUE
40092	91	Output 2 Power Lower Limit	TRUE
40093	92	Output 2 Power High Limit	TRUE
40094	93	Input Fail OP2	TRUE
40095	94	Relative Gain	TRUE
40096	95	Deadband/Overlap	TRUE
40097	96	On/Off Control Hysteresis 2	TRUE
